sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,1,1024,93.899,4096,2048.0,0.043,0.022,[],0.087,0.044,"[97.136, 90.662]","[0.042, 0.045]","[0.021, 0.023]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,2,1024,105.739,8192,4096.0,0.077,0.039,[],0.155,0.078,"[108.035, 103.444]","[0.076, 0.079]","[0.038, 0.04]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,4,1024,101.662,16384,8192.0,0.161,0.081,[],0.322,0.161,"[103.693, 99.632]","[0.158, 0.164]","[0.079, 0.082]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,8,1024,100.225,32768,16384.0,0.327,0.164,[],0.653,0.327,"[100.381, 100.069]","[0.326, 0.327]","[0.163, 0.164]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,16,1024,81.239,65536,32768.0,0.807,0.403,[],1.614,0.807,"[82.742, 79.737]","[0.792, 0.822]","[0.396, 0.411]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,32,1024,101.53,131072,65536.0,1.291,0.645,[],2.582,1.291,"[101.156, 101.904]","[1.296, 1.286]","[0.648, 0.643]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,64,1024,100.701,262144,131072.0,2.603,1.302,[],5.206,2.604,"[100.542, 100.859]","[2.607, 2.599]","[1.304, 1.3]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,128,1024,105.562,524288,262144.0,4.969,2.484,[],9.938,4.969,"[103.371, 107.754]","[5.072, 4.866]","[2.536, 2.433]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,256,1024,96.632,1048576,524288.0,10.852,5.427,[],21.705,10.853,"[97.724, 95.54]","[10.73, 10.975]","[5.365, 5.488]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,512,1024,139.755,2097152,1048576.0,15.007,7.504,[],30.014,15.007,"[138.606, 140.904]","[15.13, 14.884]","[7.565, 7.442]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,1024,1024,195.562,4194304,2097152.0,21.448,10.724,[],42.896,21.448,"[196.217, 194.906]","[21.376, 21.52]","[10.688, 10.76]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,2048,1024,299.554,8388608,4194304.0,28.005,14.003,[],56.011,28.005,"[301.829, 297.279]","[27.793, 28.218]","[13.896, 14.109]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,4096,1024,495.032,16777216,8388608.0,33.891,16.946,[],67.782,33.891,"[495.778, 494.286]","[33.84, 33.942]","[16.92, 16.971]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,8192,1024,909.072,33554432,16777216.0,36.911,18.455,[],73.822,36.91,"[910.842, 907.301]","[36.839, 36.983]","[18.419, 18.491]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,16384,1024,1733.745,67108864,33554432.0,38.707,19.353,[],77.415,38.707,"[1734.762, 1732.728]","[38.685, 38.73]","[19.342, 19.365]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,32768,1024,3782.511,134217728,67108864.0,35.483,17.742,[],70.967,35.484,"[3787.805, 3777.218]","[35.434, 35.533]","[17.717, 17.767]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,65536,1024,6620.866,268435456,134217728.0,40.544,20.271,[],81.088,40.543,"[6621.014, 6620.718]","[40.543, 40.545]","[20.271, 20.272]"
Intel(R) Graphics [0xe211],all_gather,torch,default,2,float32,131072,1024,13720.46,536870912,268435456.0,39.129,19.565,[],78.258,39.13,"[13719.021, 13721.899]","[39.133, 39.125]","[19.567, 19.563]"
