sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,1,1024,106.285,4096,4096.0,0.038,0.038,[],0.077,0.077,"[108.009, 104.562]","[0.038, 0.039]","[0.038, 0.039]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,2,1024,100.011,8192,8192.0,0.082,0.082,[],0.163,0.163,"[101.842, 98.181]","[0.08, 0.083]","[0.08, 0.083]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,4,1024,105.168,16384,16384.0,0.156,0.156,[],0.312,0.312,"[104.489, 105.846]","[0.157, 0.155]","[0.157, 0.155]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,8,1024,100.885,32768,32768.0,0.325,0.325,[],0.65,0.65,"[100.968, 100.802]","[0.325, 0.325]","[0.325, 0.325]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,16,1024,99.118,65536,65536.0,0.661,0.661,[],1.323,1.323,"[98.582, 99.653]","[0.665, 0.658]","[0.665, 0.658]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,32,1024,110.032,131072,131072.0,1.192,1.192,[],2.383,2.383,"[109.595, 110.469]","[1.196, 1.187]","[1.196, 1.187]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,64,1024,96.103,262144,262144.0,2.73,2.73,[],5.46,5.46,"[98.81, 93.397]","[2.653, 2.807]","[2.653, 2.807]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,128,1024,111.917,524288,524288.0,4.684,4.684,[],9.369,9.369,"[112.434, 111.4]","[4.663, 4.706]","[4.663, 4.706]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,256,1024,134.959,1048576,1048576.0,7.769,7.769,[],15.539,15.539,"[134.571, 135.346]","[7.792, 7.747]","[7.792, 7.747]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,512,1024,183.474,2097152,2097152.0,11.431,11.431,[],22.863,22.863,"[185.25, 181.698]","[11.321, 11.542]","[11.321, 11.542]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,1024,1024,286.156,4194304,4194304.0,14.657,14.657,[],29.315,29.315,"[286.775, 285.537]","[14.626, 14.689]","[14.626, 14.689]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,2048,1024,493.064,8388608,8388608.0,17.013,17.013,[],34.026,34.026,"[493.241, 492.887]","[17.007, 17.019]","[17.007, 17.019]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,4096,1024,898.984,16777216,16777216.0,18.663,18.663,[],37.325,37.325,"[898.882, 899.085]","[18.665, 18.66]","[18.665, 18.66]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,8192,1024,1714.403,33554432,33554432.0,19.572,19.572,[],39.144,39.144,"[1715.865, 1712.942]","[19.555, 19.589]","[19.555, 19.589]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,16384,1024,3322.662,67108864,67108864.0,20.197,20.197,[],40.395,40.395,"[3324.225, 3321.1]","[20.188, 20.207]","[20.188, 20.207]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,32768,1024,6550.172,134217728,134217728.0,20.491,20.491,[],40.982,40.982,"[6550.83, 6549.514]","[20.489, 20.493]","[20.489, 20.493]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,65536,1024,13626.435,268435456,268435456.0,19.7,19.7,[],39.4,39.4,"[13629.911, 13622.96]","[19.695, 19.705]","[19.695, 19.705]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,131072,1024,26885.274,536870912,536870912.0,19.969,19.969,[],39.938,39.938,"[26889.044, 26881.504]","[19.966, 19.972]","[19.966, 19.972]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,262144,1024,52880.854,1073741824,1073741824.0,20.305,20.305,[],40.61,40.61,"[52884.0, 52877.708]","[20.304, 20.306]","[20.304, 20.306]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float32,524288,1024,104445.874,2147483648,2147483648.0,20.561,20.561,[],41.121,41.121,"[104452.192, 104439.556]","[20.559, 20.562]","[20.559, 20.562]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,1,1024,98.392,2048,2048.0,0.021,0.021,[],0.041,0.041,"[100.636, 96.148]","[0.02, 0.021]","[0.02, 0.021]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,2,1024,110.654,4096,4096.0,0.037,0.037,[],0.074,0.074,"[110.136, 111.171]","[0.037, 0.037]","[0.037, 0.037]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,4,1024,108.459,8192,8192.0,0.075,0.075,[],0.151,0.151,"[109.278, 107.64]","[0.075, 0.076]","[0.075, 0.076]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,8,1024,102.861,16384,16384.0,0.159,0.159,[],0.318,0.318,"[104.26, 101.462]","[0.157, 0.161]","[0.157, 0.161]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,16,1024,110.994,32768,32768.0,0.295,0.295,[],0.591,0.591,"[112.33, 109.658]","[0.292, 0.299]","[0.292, 0.299]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,32,1024,114.832,65536,65536.0,0.571,0.571,[],1.142,1.142,"[115.996, 113.667]","[0.565, 0.577]","[0.565, 0.577]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,64,1024,109.967,131072,131072.0,1.192,1.192,[],2.384,2.384,"[109.99, 109.944]","[1.192, 1.192]","[1.192, 1.192]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,128,1024,106.127,262144,262144.0,2.47,2.47,[],4.94,4.94,"[106.699, 105.555]","[2.457, 2.483]","[2.457, 2.483]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,256,1024,126.818,524288,524288.0,4.143,4.143,[],8.286,8.286,"[132.694, 120.942]","[3.951, 4.335]","[3.951, 4.335]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,512,1024,148.293,1048576,1048576.0,7.071,7.071,[],14.142,14.142,"[149.032, 147.555]","[7.036, 7.106]","[7.036, 7.106]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,1024,1024,192.192,2097152,2097152.0,10.913,10.913,[],21.827,21.827,"[194.646, 189.738]","[10.774, 11.053]","[10.774, 11.053]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,2048,1024,299.715,4194304,4194304.0,13.995,13.995,[],27.989,27.989,"[299.941, 299.489]","[13.984, 14.005]","[13.984, 14.005]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,4096,1024,498.261,8388608,8388608.0,16.836,16.836,[],33.671,33.671,"[497.921, 498.602]","[16.847, 16.824]","[16.847, 16.824]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,8192,1024,904.228,16777216,16777216.0,18.554,18.554,[],37.108,37.108,"[903.682, 904.774]","[18.565, 18.543]","[18.565, 18.543]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,16384,1024,1722.175,33554432,33554432.0,19.484,19.484,[],38.968,38.968,"[1721.288, 1723.062]","[19.494, 19.474]","[19.494, 19.474]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,32768,1024,3323.437,67108864,67108864.0,20.193,20.193,[],40.385,40.385,"[3323.544, 3323.33]","[20.192, 20.193]","[20.192, 20.193]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,65536,1024,6677.286,134217728,134217728.0,20.101,20.101,[],40.202,40.202,"[6674.673, 6679.899]","[20.109, 20.093]","[20.109, 20.093]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,131072,1024,15043.522,268435456,268435456.0,17.844,17.844,[],35.688,35.688,"[15046.287, 15040.757]","[17.841, 17.847]","[17.841, 17.847]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,262144,1024,26809.354,536870912,536870912.0,20.026,20.026,[],40.051,40.051,"[26811.98, 26806.728]","[20.024, 20.027]","[20.024, 20.027]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,float16,524288,1024,52866.086,1073741824,1073741824.0,20.31,20.31,[],40.621,40.621,"[52873.08, 52859.092]","[20.308, 20.313]","[20.308, 20.313]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,1,1024,114.691,2048,2048.0,0.018,0.018,[],0.036,0.036,"[114.54, 114.842]","[0.018, 0.018]","[0.018, 0.018]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,2,1024,112.874,4096,4096.0,0.036,0.036,[],0.073,0.073,"[112.216, 113.532]","[0.037, 0.036]","[0.037, 0.036]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,4,1024,116.197,8192,8192.0,0.071,0.071,[],0.141,0.141,"[117.328, 115.066]","[0.07, 0.071]","[0.07, 0.071]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,8,1024,112.325,16384,16384.0,0.145,0.145,[],0.291,0.291,"[113.568, 111.082]","[0.144, 0.147]","[0.144, 0.147]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,16,1024,115.511,32768,32768.0,0.283,0.283,[],0.567,0.567,"[115.196, 115.825]","[0.284, 0.283]","[0.284, 0.283]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,32,1024,114.727,65536,65536.0,0.571,0.571,[],1.143,1.143,"[115.877, 113.578]","[0.566, 0.577]","[0.566, 0.577]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,64,1024,117.436,131072,131072.0,1.116,1.116,[],2.232,2.232,"[116.49, 118.383]","[1.125, 1.107]","[1.125, 1.107]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,128,1024,116.287,262144,262144.0,2.255,2.255,[],4.509,4.509,"[115.939, 116.636]","[2.261, 2.248]","[2.261, 2.248]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,256,1024,118.162,524288,524288.0,4.438,4.438,[],8.875,8.875,"[119.371, 116.953]","[4.392, 4.483]","[4.392, 4.483]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,512,1024,151.089,1048576,1048576.0,6.941,6.941,[],13.881,13.881,"[151.663, 150.514]","[6.914, 6.967]","[6.914, 6.967]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,1024,1024,202.264,2097152,2097152.0,10.369,10.369,[],20.737,20.737,"[203.06, 201.469]","[10.328, 10.409]","[10.328, 10.409]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,2048,1024,295.792,4194304,4194304.0,14.18,14.18,[],28.359,28.359,"[296.031, 295.552]","[14.168, 14.191]","[14.168, 14.191]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,4096,1024,499.385,8388608,8388608.0,16.798,16.798,[],33.596,33.596,"[500.256, 498.514]","[16.769, 16.827]","[16.769, 16.827]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,8192,1024,913.869,16777216,16777216.0,18.358,18.358,[],36.716,36.716,"[913.817, 913.921]","[18.359, 18.357]","[18.359, 18.357]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,16384,1024,1726.522,33554432,33554432.0,19.434,19.434,[],38.869,38.869,"[1725.755, 1727.289]","[19.443, 19.426]","[19.443, 19.426]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,32768,1024,3367.39,67108864,67108864.0,19.929,19.929,[],39.858,39.858,"[3362.289, 3372.491]","[19.959, 19.899]","[19.959, 19.899]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,65536,1024,6556.046,134217728,134217728.0,20.473,20.473,[],40.945,40.945,"[6555.916, 6556.176]","[20.473, 20.472]","[20.473, 20.472]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,131072,1024,13582.478,268435456,268435456.0,19.764,19.764,[],39.527,39.527,"[13589.021, 13575.935]","[19.754, 19.773]","[19.754, 19.773]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,262144,1024,26854.75,536870912,536870912.0,19.991,19.991,[],39.983,39.983,"[26857.064, 26852.436]","[19.99, 19.993]","[19.99, 19.993]"
Intel(R) Graphics [0xe211],all_reduce,torch,default,2,bfloat16,524288,1024,52916.552,1073741824,1073741824.0,20.291,20.291,[],40.583,40.583,"[52881.14, 52951.964]","[20.305, 20.278]","[20.305, 20.278]"
