sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,1,1024,379.847,4096,2048.0,0.011,0.005,[],0.022,0.01,"[380.817, 378.877]","[0.011, 0.011]","[0.005, 0.005]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,2,1024,361.145,8192,4096.0,0.022,0.011,[],0.045,0.022,"[364.161, 358.129]","[0.022, 0.023]","[0.011, 0.011]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,4,1024,372.9,16384,8192.0,0.044,0.022,[],0.088,0.044,"[373.256, 372.544]","[0.044, 0.044]","[0.022, 0.022]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,8,1024,366.644,32768,16384.0,0.089,0.045,[],0.179,0.09,"[368.03, 365.258]","[0.089, 0.09]","[0.045, 0.045]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,16,1024,363.566,65536,32768.0,0.18,0.09,[],0.361,0.18,"[366.356, 360.776]","[0.179, 0.182]","[0.089, 0.091]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,32,1024,397.184,131072,65536.0,0.33,0.165,[],0.66,0.33,"[398.112, 396.256]","[0.329, 0.331]","[0.165, 0.165]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,64,1024,366.527,262144,131072.0,0.716,0.357,[],1.431,0.715,"[368.919, 364.135]","[0.711, 0.72]","[0.355, 0.36]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,128,1024,375.463,524288,262144.0,1.397,0.698,[],2.793,1.397,"[377.426, 373.5]","[1.389, 1.404]","[0.695, 0.702]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,256,1024,372.287,1048576,524288.0,2.817,1.409,[],5.633,2.817,"[374.598, 369.975]","[2.799, 2.834]","[1.4, 1.417]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,512,1024,379.179,2097152,1048576.0,5.531,2.766,[],11.062,5.531,"[382.174, 376.184]","[5.487, 5.575]","[2.744, 2.787]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,1024,1024,425.193,4194304,2097152.0,9.865,4.933,[],19.73,9.865,"[428.007, 422.38]","[9.8, 9.93]","[4.9, 4.965]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,2048,1024,529.534,8388608,4194304.0,15.842,7.921,[],31.684,15.842,"[531.003, 528.065]","[15.798, 15.886]","[7.899, 7.943]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,4096,1024,727.979,16777216,8388608.0,23.047,11.524,[],46.093,23.047,"[729.96, 725.998]","[22.984, 23.109]","[11.492, 11.555]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,8192,1024,1102.021,33554432,16777216.0,30.448,15.224,[],60.897,30.448,"[1103.445, 1100.596]","[30.409, 30.488]","[15.204, 15.244]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,16384,1024,1845.472,67108864,33554432.0,36.364,18.182,[],72.729,36.364,"[1847.576, 1843.369]","[36.323, 36.406]","[18.161, 18.203]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,32768,1024,3366.402,134217728,67108864.0,39.87,19.934,[],79.74,39.869,"[3367.848, 3364.956]","[39.853, 39.887]","[19.926, 19.943]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,65536,1024,7075.398,268435456,134217728.0,37.939,18.97,[],75.879,37.939,"[7075.328, 7075.467]","[37.94, 37.939]","[18.97, 18.969]"
Intel(R) Graphics [0xe211],all_to_all,torch,default,2,float32,131072,1024,13415.012,536870912,268435456.0,40.02,20.011,[],80.04,40.021,"[13419.38, 13410.644]","[40.007, 40.033]","[20.004, 20.017]"
