sku_name,op_name,provider,arg_type,dtype,batch_size,dim_size,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio,kernels
Intel(R) Graphics [0xe211],device2device,torch,default,float32,1,1024,17.077,4096,4096,8192,0.48,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,2,1024,15.538,8192,8192,16384,1.054,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,4,1024,15.423,16384,16384,32768,2.125,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,8,1024,14.066,32768,32768,65536,4.659,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,16,1024,12.854,65536,65536,131072,10.197,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,32,1024,16.968,131072,131072,262144,15.45,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,64,1024,14.435,262144,262144,524288,36.32,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,128,1024,19.864,524288,524288,1048576,52.788,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,256,1024,13.952,1048576,1048576,2097152,150.316,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,512,1024,13.697,2097152,2097152,4194304,306.225,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,1024,1024,20.493,4194304,4194304,8388608,409.336,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,2048,1024,46.348,8388608,8388608,16777216,361.987,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,4096,1024,87.724,16777216,16777216,33554432,382.5,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,8192,1024,172.515,33554432,33554432,67108864,389.003,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,16384,1024,357.666,67108864,67108864,134217728,375.26,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,32768,1024,681.418,134217728,134217728,268435456,393.936,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,65536,1024,1389.019,268435456,268435456,536870912,386.511,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,131072,1024,2752.651,536870912,536870912,1073741824,390.076,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,262144,1024,5370.929,1073741824,1073741824,2147483648,399.835,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,524288,1024,10762.508,2147483648,2147483648,4294967296,399.068,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,1048576,1024,21451.815,4294967296,4294967296,8589934592,400.429,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float32,2097152,1024,42991.863,8589934592,8589934592,17179869184,399.607,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,1,1024,14.056,2048,2048,4096,0.291,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,2,1024,15.34,4096,4096,8192,0.534,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,4,1024,15.818,8192,8192,16384,1.036,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,8,1024,13.718,16384,16384,32768,2.389,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,16,1024,13.952,32768,32768,65536,4.697,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,32,1024,13.286,65536,65536,131072,9.865,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,64,1024,15.241,131072,131072,262144,17.2,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,128,1024,13.52,262144,262144,524288,38.779,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,256,1024,14.009,524288,524288,1048576,74.851,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,512,1024,14.893,1048576,1048576,2097152,140.817,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,1024,1024,14.716,2097152,2097152,4194304,285.017,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,2048,1024,20.197,4194304,4194304,8388608,415.343,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,4096,1024,46.062,8388608,8388608,16777216,364.234,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,8192,1024,87.942,16777216,16777216,33554432,381.55,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,16384,1024,171.917,33554432,33554432,67108864,390.356,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,32768,1024,369.164,67108864,67108864,134217728,363.572,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,65536,1024,680.586,134217728,134217728,268435456,394.418,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,131072,1024,1432.912,268435456,268435456,536870912,374.671,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,262144,1024,2701.764,536870912,536870912,1073741824,397.423,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,524288,1024,5663.367,1073741824,1073741824,2147483648,379.189,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,1048576,1024,10749.092,2147483648,2147483648,4294967296,399.566,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,float16,2097152,1024,21896.727,4294967296,4294967296,8589934592,392.293,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,1,1024,16.416,2048,2048,4096,0.25,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,2,1024,15.86,4096,4096,8192,0.517,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,4,1024,14.732,8192,8192,16384,1.112,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,8,1024,15.491,16384,16384,32768,2.115,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,16,1024,14.045,32768,32768,65536,4.666,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,32,1024,13.754,65536,65536,131072,9.53,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,64,1024,14.134,131072,131072,262144,18.548,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,128,1024,15.288,262144,262144,524288,34.294,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,256,1024,33.743,524288,524288,1048576,31.076,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,512,1024,17.337,1048576,1048576,2097152,120.965,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,1024,1024,14.758,2097152,2097152,4194304,284.213,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,2048,1024,20.457,4194304,4194304,8388608,410.065,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,4096,1024,44.72,8388608,8388608,16777216,375.161,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,8192,1024,88.332,16777216,16777216,33554432,379.866,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,16384,1024,173.061,33554432,33554432,67108864,387.775,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,32768,1024,356.455,67108864,67108864,134217728,376.535,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,65536,1024,681.398,134217728,134217728,268435456,393.948,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,131072,1024,1354.766,268435456,268435456,536870912,396.283,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,262144,1024,2794.615,536870912,536870912,1073741824,384.218,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,524288,1024,5509.618,1073741824,1073741824,2147483648,389.77,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,1048576,1024,11022.456,2147483648,2147483648,4294967296,389.656,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,bfloat16,2097152,1024,21444.514,4294967296,4294967296,8589934592,400.566,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,1,1024,13.068,1024,1024,2048,0.157,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,2,1024,13.406,2048,2048,4096,0.306,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,4,1024,14.929,4096,4096,8192,0.549,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,8,1024,14.68,8192,8192,16384,1.116,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,16,1024,14.227,16384,16384,32768,2.303,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,32,1024,13.432,32768,32768,65536,4.879,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,64,1024,15.501,65536,65536,131072,8.456,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,128,1024,14.68,131072,131072,262144,17.858,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,256,1024,13.723,262144,262144,524288,38.206,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,512,1024,15.085,524288,524288,1048576,69.51,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,1024,1024,14.035,1048576,1048576,2097152,149.425,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,2048,1024,11.976,2097152,2097152,4194304,350.237,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,4096,1024,24.149,4194304,4194304,8388608,347.372,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,8192,1024,48.615,8388608,8388608,16777216,345.105,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,16384,1024,96.517,16777216,16777216,33554432,347.652,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,32768,1024,179.416,33554432,33554432,67108864,374.041,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,65536,1024,342.82,67108864,67108864,134217728,391.51,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,131072,1024,692.141,134217728,134217728,268435456,387.834,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,262144,1024,1398.353,268435456,268435456,536870912,383.931,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,524288,1024,2772.505,536870912,536870912,1073741824,387.282,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,1048576,1024,5400.803,1073741824,1073741824,2147483648,397.623,0,0.0,0.0,[]
Intel(R) Graphics [0xe211],device2device,torch,default,int8,2097152,1024,10957.123,2147483648,2147483648,4294967296,391.979,0,0.0,0.0,[]
