sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,1,1024,16.359,4096,4096,0.25,0.25,[],0.25,0.25,[16.359],[0.25],[0.25]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,2,1024,16.282,8192,8192,0.503,0.503,[],0.503,0.503,[16.282],[0.503],[0.503]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,4,1024,16.233,16384,16384,1.009,1.009,[],1.009,1.009,[16.233],[1.009],[1.009]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,8,1024,16.557,32768,32768,1.979,1.979,[],1.979,1.979,[16.557],[1.979],[1.979]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,16,1024,18.028,65536,65536,3.635,3.635,[],3.635,3.635,[18.028],[3.635],[3.635]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,32,1024,20.351,131072,131072,6.441,6.441,[],6.441,6.441,[20.351],[6.441],[6.441]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,64,1024,25.258,262144,262144,10.378,10.378,[],10.378,10.378,[25.258],[10.378],[10.378]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,128,1024,35.97,524288,524288,14.576,14.576,[],14.576,14.576,[35.97],[14.576],[14.576]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,256,1024,55.096,1048576,1048576,19.032,19.032,[],19.032,19.032,[55.096],[19.032],[19.032]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,512,1024,95.058,2097152,2097152,22.062,22.062,[],22.062,22.062,[95.058],[22.062],[22.062]
Intel(R) Graphics [0xe211],device2host,torch,default,1,float32,1024,1024,164.725,4194304,4194304,25.463,25.463,[],25.463,25.463,[164.725],[25.463],[25.463]
