sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,1,1024,17.716,4096,4096,0.231,0.231,[],0.231,0.231,[17.716],[0.231],[0.231]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,2,1024,16.727,8192,8192,0.49,0.49,[],0.49,0.49,[16.727],[0.49],[0.49]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,4,1024,18.975,16384,16384,0.863,0.863,[],0.863,0.863,[18.975],[0.863],[0.863]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,8,1024,19.617,32768,32768,1.67,1.67,[],1.67,1.67,[19.617],[1.67],[1.67]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,16,1024,20.9,65536,65536,3.136,3.136,[],3.136,3.136,[20.9],[3.136],[3.136]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,32,1024,27.406,131072,131072,4.783,4.783,[],4.783,4.783,[27.406],[4.783],[4.783]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,64,1024,39.434,262144,262144,6.648,6.648,[],6.648,6.648,[39.434],[6.648],[6.648]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,128,1024,64.177,524288,524288,8.169,8.169,[],8.169,8.169,[64.177],[8.169],[8.169]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,256,1024,113.263,1048576,1048576,9.258,9.258,[],9.258,9.258,[113.263],[9.258],[9.258]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,512,1024,215.954,2097152,2097152,9.711,9.711,[],9.711,9.711,[215.954],[9.711],[9.711]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,1024,1024,412.424,4194304,4194304,10.17,10.17,[],10.17,10.17,[412.424],[10.17],[10.17]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,2048,1024,825.846,8388608,8388608,10.158,10.158,[],10.158,10.158,[825.846],[10.158],[10.158]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,4096,1024,1650.416,16777216,16777216,10.165,10.165,[],10.165,10.165,[1650.416],[10.165],[10.165]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,8192,1024,3468.17,33554432,33554432,9.675,9.675,[],9.675,9.675,[3468.17],[9.675],[9.675]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,16384,1024,6593.496,67108864,67108864,10.178,10.178,[],10.178,10.178,[6593.496],[10.178],[10.178]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,32768,1024,10311.502,134217728,134217728,13.016,13.016,[],13.016,13.016,[10311.502],[13.016],[13.016]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,65536,1024,15497.092,268435456,268435456,17.322,17.322,[],17.322,17.322,[15497.092],[17.322],[17.322]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,131072,1024,24615.452,536870912,536870912,21.81,21.81,[],21.81,21.81,[24615.452],[21.81],[21.81]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,262144,1024,43365.799,1073741824,1073741824,24.76,24.76,[],24.76,24.76,[43365.799],[24.76],[24.76]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,524288,1024,79494.725,2147483648,2147483648,27.014,27.014,[],27.014,27.014,[79494.725],[27.014],[27.014]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,1048576,1024,153516.17,4294967296,4294967296,27.977,27.977,[],27.977,27.977,[153516.17],[27.977],[27.977]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float32,2097152,1024,301725.825,8589934592,8589934592,28.469,28.469,[],28.469,28.469,[301725.825],[28.469],[28.469]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,1,1024,16.12,2048,2048,0.127,0.127,[],0.127,0.127,[16.12],[0.127],[0.127]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,2,1024,16.247,4096,4096,0.252,0.252,[],0.252,0.252,[16.247],[0.252],[0.252]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,4,1024,17.844,8192,8192,0.459,0.459,[],0.459,0.459,[17.844],[0.459],[0.459]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,8,1024,16.907,16384,16384,0.969,0.969,[],0.969,0.969,[16.907],[0.969],[0.969]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,16,1024,18.734,32768,32768,1.749,1.749,[],1.749,1.749,[18.734],[1.749],[1.749]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,32,1024,20.956,65536,65536,3.127,3.127,[],3.127,3.127,[20.956],[3.127],[3.127]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,64,1024,27.213,131072,131072,4.817,4.817,[],4.817,4.817,[27.213],[4.817],[4.817]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,128,1024,36.995,262144,262144,7.086,7.086,[],7.086,7.086,[36.995],[7.086],[7.086]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,256,1024,57.845,524288,524288,9.064,9.064,[],9.064,9.064,[57.845],[9.064],[9.064]
Intel(R) Graphics [0xe211],host2device,torch,default,1,float16,512,1024,104.733,1048576,1048576,10.012,10.012,[],10.012,10.012,[104.733],[10.012],[10.012]
