sku_name,op_name,provider,arg_type,world_size,dtype,batch_size,dim_size,latency(us),algo_size(B),bus_size(B),algo_bw(GB/s),bus_bw(GB/s),kernels,algo_bw_sum(GB/s),bus_bw_sum(GB/s),latency_list(us),algo_bw_list(GB/s),bus_bw_list(GB/s)
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,1,1024,213.879,4096,2048.0,0.019,0.009,[],0.039,0.019,"[219.809, 207.948]","[0.019, 0.02]","[0.009, 0.01]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,2,1024,209.589,8192,4096.0,0.039,0.019,[],0.078,0.039,"[211.604, 207.574]","[0.039, 0.039]","[0.019, 0.02]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,4,1024,216.671,16384,8192.0,0.075,0.037,[],0.151,0.075,"[218.785, 214.557]","[0.075, 0.076]","[0.037, 0.038]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,8,1024,217.399,32768,16384.0,0.151,0.075,[],0.302,0.151,"[218.717, 216.081]","[0.15, 0.152]","[0.075, 0.076]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,16,1024,212.623,65536,32768.0,0.308,0.154,[],0.616,0.309,"[213.377, 211.869]","[0.307, 0.309]","[0.154, 0.155]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,32,1024,211.999,131072,65536.0,0.619,0.309,[],1.237,0.619,"[213.782, 210.215]","[0.613, 0.624]","[0.307, 0.312]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,64,1024,215.55,262144,131072.0,1.216,0.609,[],2.432,1.217,"[217.142, 213.959]","[1.207, 1.225]","[0.604, 0.613]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,128,1024,216.094,524288,262144.0,2.426,1.213,[],4.853,2.426,"[217.916, 214.271]","[2.406, 2.447]","[1.203, 1.223]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,256,1024,221.197,1048576,524288.0,4.74,2.37,[],9.481,4.741,"[222.539, 219.856]","[4.712, 4.769]","[2.356, 2.385]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,512,1024,256.942,2097152,1048576.0,8.162,4.081,[],16.324,8.162,"[257.873, 256.012]","[8.132, 8.192]","[4.066, 4.096]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,1024,1024,450.5,4194304,2097152.0,9.311,4.655,[],18.622,9.311,"[453.924, 447.075]","[9.24, 9.382]","[4.62, 4.691]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,2048,1024,563.236,8388608,4194304.0,14.894,7.447,[],29.788,14.894,"[565.505, 560.966]","[14.834, 14.954]","[7.417, 7.477]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,4096,1024,778.75,16777216,8388608.0,21.544,10.772,[],43.088,21.544,"[780.515, 776.984]","[21.495, 21.593]","[10.748, 10.796]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,8192,1024,1278.615,33554432,16777216.0,26.243,13.122,[],52.486,26.243,"[1280.417, 1276.813]","[26.206, 26.28]","[13.103, 13.14]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,16384,1024,2218.055,67108864,33554432.0,30.255,15.128,[],60.511,30.256,"[2219.339, 2216.77]","[30.238, 30.273]","[15.119, 15.137]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,32768,1024,4127.861,134217728,67108864.0,32.515,16.258,[],65.03,32.515,"[4131.254, 4124.468]","[32.488, 32.542]","[16.244, 16.271]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,65536,1024,7945.66,268435456,134217728.0,33.784,16.892,[],67.568,33.784,"[7947.93, 7943.39]","[33.774, 33.794]","[16.887, 16.897]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,131072,1024,16306.324,536870912,268435456.0,32.924,16.462,[],65.848,32.924,"[16309.644, 16303.005]","[32.917, 32.931]","[16.459, 16.465]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,262144,1024,32080.178,1073741824,536870912.0,33.471,16.735,[],66.941,33.47,"[32082.024, 32078.332]","[33.469, 33.472]","[16.734, 16.736]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,524288,1024,63167.832,2147483648,1073741824.0,33.996,16.998,[],67.993,33.997,"[63173.5, 63162.164]","[33.993, 34.0]","[16.997, 17.0]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,1048576,1024,156476.58,4294967296,2147483648.0,27.448,13.724,[],54.896,27.448,"[156474.5, 156478.66]","[27.448, 27.448]","[13.724, 13.724]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float32,2097152,1024,302744.598,8589934592,4294967296.0,28.373,14.187,[],56.747,28.373,"[302776.032, 302713.164]","[28.371, 28.376]","[14.185, 14.188]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float16,1,1024,227.118,2048,1024.0,0.009,0.005,[],0.018,0.009,"[228.852, 225.384]","[0.009, 0.009]","[0.004, 0.005]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float16,2,1024,229.276,4096,2048.0,0.018,0.009,[],0.036,0.018,"[229.84, 228.712]","[0.018, 0.018]","[0.009, 0.009]"
Intel(R) Graphics [0xe211],reduce_scatter,torch,default,2,float16,4,1024,225.392,8192,4096.0,0.036,0.018,[],0.073,0.036,"[226.413, 224.37]","[0.036, 0.037]","[0.018, 0.018]"
